"Date Time","Date Time(RAW)","%idle","%idle(RAW)","%user","%user(RAW)","%system","%system(RAW)","%iowait","%iowait(RAW)","%used","%used(RAW)","Coverage","Coverage(RAW)"
"4/18/2020 1:30:32 PM","43939.2712045833","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 1:31:32 PM","43939.2718992708","99.83 %","99.8300","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.17 %","0.1700","100 %","0000010000"
"4/18/2020 1:32:32 PM","43939.2725935301","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 1:33:27 PM","43939.2732325000","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 1:34:32 PM","43939.2739825463","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 1:35:32 PM","43939.2746767477","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 1:36:32 PM","43939.2753712732","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 1:37:32 PM","43939.2760658912","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 1:38:32 PM","43939.2767603704","99.83 %","99.8300","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.17 %","0.1700","100 %","0000010000"
"4/18/2020 1:39:32 PM","43939.2774545602","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 1:40:32 PM","43939.2781488542","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 1:41:32 PM","43939.2788434375","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 1:42:32 PM","43939.2795379977","99.85 %","99.8500","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.15 %","0.1500","100 %","0000010000"
"4/18/2020 1:43:32 PM","43939.2802325347","99.87 %","99.8700","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.13 %","0.1300","100 %","0000010000"
"4/18/2020 1:44:27 PM","43939.2808703009","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 1:45:32 PM","43939.2816211690","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 1:46:32 PM","43939.2823156944","99.84 %","99.8400","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.16 %","0.1600","100 %","0000010000"
"4/18/2020 1:47:32 PM","43939.2830102199","99.88 %","99.8800","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.12 %","0.1200","100 %","0000010000"
"4/18/2020 1:48:32 PM","43939.2837046875","99.86 %","99.8600","0 %","0.0000","0 %","0.0000","0 %","0.0000","0.14 %","0.1400","100 %","0000010000"
